ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
DINOL,lncRNA,0.0,0.0,0.16,0.75,3.3,2.17
DIO2-AS1,lncRNA,0.08,0.2,0.0,0.67,3.46,2.4
DIO3OS,lncRNA,16.04,7.8,17.07,10.34,63.45,53.18
DIP2A-IT1,lncRNA,0.0,0.0,0.0,0.0,2.22,0.58
DIP2C-AS1,lncRNA,14.83,11.62,26.26,16.4,80.78,74.84
DIRC1,lncRNA,0.0,0.0,0.33,0.0,0.12,1.67
DIRC3,lncRNA,5.92,9.48,2.06,14.71,14.16,14.13
DIRC3-AS1,lncRNA,9.8,7.17,36.58,13.81,16.86,18.75
DISC1-IT1,lncRNA,0.22,8.13,0.0,1.09,3.77,1.27
DISC1FP1,lncRNA,0.61,6.54,0.0,1.06,5.32,7.98
DKFZP434A062,lncRNA,4.18,3.63,7.46,13.48,23.03,27.03
DKFZP434H168,lncRNA,2.54,2.79,4.68,2.79,31.8,25.42
DLEU1,lncRNA,15.45,30.56,20.35,35.42,238.23,367.24
DLEU2,lncRNA,22.44,25.79,29.79,20.66,101.23,65.23
DLEU2L,lncRNA,0.8,1.3,0.95,2.5,2.08,3.46
DLG1-AS1,lncRNA,4.07,1.02,3.13,5.5,7.85,9.55
DLG2-AS2,lncRNA,2.09,2.33,2.34,5.5,1.26,2.11
DLG3-AS1,lncRNA,0.42,0.0,0.29,0.5,2.0,1.36
DLG5-AS1,lncRNA,1.55,1.59,2.92,2.83,7.82,5.33
DLGAP1-AS1,lncRNA,1.12,15.23,3.63,6.67,14.9,29.58
DLGAP1-AS2,lncRNA,1.09,2.46,9.44,6.25,5.44,4.36
DLGAP1-AS3,lncRNA,3.18,3.35,5.12,4.34,8.47,6.29
DLGAP1-AS4,lncRNA,2.53,8.16,4.05,9.74,39.69,44.3
DLGAP1-AS5,lncRNA,0.35,1.1,0.08,4.5,2.93,2.87
DLGAP2-AS1,lncRNA,0.92,0.58,0.72,4.07,18.46,10.47
DLGAP4-AS1,lncRNA,1.64,2.16,2.85,1.6,13.09,9.53
DLX2-DT,lncRNA,1632.0,150.17,154.5,38.09,939.4,126.03
DLX6-AS1,lncRNA,4.46,12.98,4.99,15.77,39.51,48.3
DM1-AS,lncRNA,0.83,5.26,1.68,1.5,10.14,18.77
DMD-AS3,lncRNA,0.0,0.0,0.0,0.0,0.33,0.23
DNAAF4-CCPG1,lncRNA,13.47,20.67,4.11,11.04,4.34,3.16
DNAH10OS,lncRNA,9.95,5.47,14.5,36.77,37.39,33.83
DNAH17-AS1,lncRNA,9.9,11.22,6.09,11.41,31.25,26.13
DNAH8-AS1,lncRNA,1.67,0.5,0.75,0.33,3.62,1.6
DNAJB5-DT,lncRNA,0.58,2.97,4.56,3.33,30.18,22.13
