ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
AC004528.1,lncRNA,0,2,0,0,0,1
AC004528.2,lncRNA,1,1,1,2,5,6
AC004540.1,lncRNA,8,14,8,13,37,60
AC004540.2,lncRNA,1,17,10,4,9,14
AC004542.2,lncRNA,1,2,0,0,1,4
AC004543.1,lncRNA,0,0,0,0,3,0
AC004551.1,lncRNA,0,1,0,2,0,1
AC004554.1,lncRNA,3,2,14,2,7,4
AC004584.1,lncRNA,0,0,0,0,1,0
AC004584.3,lncRNA,15,6,2,28,32,26
AC004585.1,lncRNA,2,0,1,0,5,5
AC004590.1,lncRNA,0,1,0,0,1,2
AC004593.1,lncRNA,0,1,2,0,3,17
AC004594.1,lncRNA,1,4,2,3,17,13
AC004596.1,lncRNA,0,0,0,0,4,1
AC004597.1,lncRNA,2,0,1,0,3,3
AC004637.1,lncRNA,0,0,0,1,14,10
AC004672.1,lncRNA,0,2,3,1,7,11
AC004672.2,lncRNA,1,0,0,0,2,1
AC004687.1,lncRNA,1081,888,983,894,3203,3161
AC004687.3,lncRNA,4,3,5,4,19,15
AC004690.2,lncRNA,3,3,1,3,2,6
AC004691.1,lncRNA,1,2,1,5,23,31
AC004692.2,lncRNA,2,1,3,4,13,16
AC004702.1,lncRNA,0,0,1,0,0,0
AC004704.1,lncRNA,12,22,10,13,67,123
AC004704.2,lncRNA,3,2,4,4,7,7
AC004704.3,lncRNA,2,6,1,7,54,61
AC004706.1,lncRNA,12,25,20,27,35,66
AC004707.1,lncRNA,5,3,9,1,3,5
AC004765.1,lncRNA,0,5,1,2,0,2
AC004771.1,lncRNA,0,1,1,0,0,1
AC004771.2,lncRNA,0,0,0,0,5,3
AC004771.3,lncRNA,0,1,0,0,1,2
AC004771.4,lncRNA,0,1,0,0,2,3
AC004775.1,lncRNA,0,0,0,0,0,1
AC004784.1,lncRNA,0,0,0,2,1,2
AC004801.3,lncRNA,1,0,2,0,1,3
AC004801.4,lncRNA,1,4,2,4,7,13
AC004801.5,lncRNA,2,2,1,2,4,5
AC004801.6,lncRNA,1,0,0,0,1,1
AC004803.1,lncRNA,1,3,2,4,17,20
AC004812.2,lncRNA,2,1,3,4,12,9
AC004816.1,lncRNA,0,1,2,0,11,17
AC004816.2,lncRNA,0,0,4,1,3,3
AC004817.1,lncRNA,0,0,0,3,2,1
AC004817.2,lncRNA,0,1,0,0,5,2
AC004817.3,lncRNA,3,0,3,2,10,10
AC004817.4,lncRNA,0,0,1,3,7,4
AC004817.5,lncRNA,0,12,5,4,36,18
AC004825.2,lncRNA,0,1,0,2,0,2
AC004825.3,lncRNA,5,12,2,8,20,14
AC004828.1,lncRNA,0,0,0,0,2,0
AC004828.2,lncRNA,14,23,19,11,128,182
AC004830.2,lncRNA,1,0,0,5,1,2
AC004832.1,lncRNA,28,54,28,27,125,236
AC004832.4,lncRNA,0,0,1,0,0,0
AC004832.5,lncRNA,0,2,4,4,1,2
AC004832.6,lncRNA,6,2,1,0,15,9
AC004834.1,lncRNA,1,11,10,8,18,20
AC004835.1,lncRNA,0,1,0,0,2,6
AC004837.2,lncRNA,0,0,0,0,2,0
AC004837.3,lncRNA,1,0,1,0,3,2
AC004837.4,lncRNA,0,0,0,0,4,3
AC004839.2,lncRNA,0,0,0,1,2,3
AC004846.1,lncRNA,2,2,2,4,12,10
AC004846.2,lncRNA,0,0,0,0,1,2
AC004847.1,lncRNA,2,0,1,0,2,3
AC004852.2,lncRNA,4,5,3,3,17,12
AC004854.2,lncRNA,2,1,6,4,11,9
AC004862.1,lncRNA,2,4,1,0,9,13
AC004863.1,lncRNA,2,2,2,2,8,9
AC004869.1,lncRNA,0,0,0,2,3,2
AC004869.2,lncRNA,0,0,0,2,2,1
AC004870.2,lncRNA,0,3,1,2,5,5
AC004870.3,lncRNA,0,0,0,0,1,1
AC004870.4,lncRNA,0,0,0,0,2,2
AC004875.1,lncRNA,0,0,0,0,3,2
AC004877.1,lncRNA,4,2,2,1,13,12
AC004879.1,lncRNA,0,0,0,0,1,2
AC004882.1,lncRNA,1,0,1,1,4,2
AC004882.3,lncRNA,0,1,1,0,8,17
AC004884.2,lncRNA,0,0,0,1,1,0
AC004888.1,lncRNA,0,0,0,0,2,1
AC004893.2,lncRNA,2,1,2,1,16,6
AC004895.1,lncRNA,0,1,2,1,7,8
AC004900.1,lncRNA,0,0,1,0,1,0
AC004917.1,lncRNA,1,3,2,1,2,4
AC004918.3,lncRNA,0,0,1,0,3,2
AC004920.1,lncRNA,1,0,0,0,2,1
AC004921.1,lncRNA,0,0,0,0,4,2
AC004921.2,lncRNA,1,0,0,1,2,2
AC004923.4,lncRNA,1,0,3,1,2,4
AC004936.1,lncRNA,0,3,8,0,1,1
AC004938.2,lncRNA,0,0,2,2,4,3
AC004941.1,lncRNA,1,0,0,3,7,7
AC004943.1,lncRNA,0,1,0,0,1,2
AC004943.2,lncRNA,20,10,13,13,28,25
AC004943.3,lncRNA,0,0,0,0,2,1
AC004944.1,lncRNA,1,0,1,1,5,4
AC004946.1,lncRNA,0,1,0,1,1,0
AC004946.2,lncRNA,0,0,0,1,1,0
AC004947.1,lncRNA,1,1,2,1,5,5
AC004947.3,lncRNA,0,2,0,1,0,0
AC004948.1,lncRNA,0,0,0,0,1,1
AC004951.1,lncRNA,2,2,1,3,8,7
AC004951.4,lncRNA,0,0,0,2,3,3
AC004967.2,lncRNA,2,4,1,3,2,2
AC004969.1,lncRNA,0,0,0,0,2,3
AC004973.1,lncRNA,1,0,0,0,1,0
AC004974.1,lncRNA,3,7,8,2,38,24
AC004975.2,lncRNA,0,0,0,0,2,3
AC004982.1,lncRNA,0,0,0,0,4,2
AC004990.1,lncRNA,1,3,3,1,8,5
AC005005.3,lncRNA,0,1,0,2,2,1
AC005005.4,lncRNA,14,41,6,35,44,40
AC005006.1,lncRNA,2,5,0,2,1,2
AC005008.2,lncRNA,0,0,0,0,3,0
AC005009.1,lncRNA,0,0,0,0,2,1
AC005013.1,lncRNA,0,0,0,2,0,1
AC005014.2,lncRNA,0,0,0,0,1,1
AC005014.3,lncRNA,0,1,0,0,3,2
AC005014.4,lncRNA,0,0,0,0,1,1
AC005019.2,lncRNA,0,1,1,7,9,1
AC005034.2,lncRNA,1,12,8,1,27,32
AC005034.3,lncRNA,0,1,1,1,2,1
AC005034.4,lncRNA,0,0,0,0,1,0
AC005034.5,lncRNA,0,0,0,0,0,2
AC005034.6,lncRNA,1,0,22,3,14,10
AC005037.1,lncRNA,0,6,1,1,4,3
AC005040.2,lncRNA,1,2,1,12,11,13
