"ID","logFC","logCPM","LR","PValue","FDR"
"AC091488.1",-4.15576887177687,3.4240536814556,6.96443085243632,0.00831458760458575,0.553442976865852
"AL161793.1",2.98221992507909,3.9916369267716,6.96229103684971,0.00832453713009553,0.553442976865852
"AC025171.1",-1.57652972162509,7.22792226617225,6.90674499229521,0.00858711762564857,0.568531322966177
"AL023882.1",1.85972728139115,4.7323992938385,6.89321315550004,0.00865236043183215,0.570483731612867
"AC132938.2",2.98170864113542,3.89518549743236,6.85547464080213,0.00883700781511216,0.576827897911894
"AC022081.1",2.9845492187893,3.88938262100669,6.84467705216463,0.00889057697042045,0.576827897911894
"AC026310.1",2.9845492187893,3.88938262100669,6.84467705216463,0.00889057697042045,0.576827897911894
"CYP2U1-AS1",1.54833530077844,5.50073519847013,6.824555921112,0.00899129094903056,0.576827897911894
"AL357079.2",1.73377470561718,4.88818384783489,6.81361934006604,0.00904652198325504,0.576827897911894
"AC009167.1",4.03813010266344,3.50835440666327,6.80893829429965,0.00907026786802636,0.576827897911894
"AC136443.4",4.03813010266344,3.50835440666327,6.80893829429965,0.00907026786802636,0.576827897911894
"AL160400.1",1.43724785601784,6.80474287855063,6.80525825183745,0.0090889806931812,0.576827897911894
"AC016493.1",3.79228896181557,3.41804335202805,6.80279668581732,0.00910151968935716,0.576827897911894
"AC244517.1",1.79730335488208,4.8715275105361,6.77660532593703,0.00923603823645347,0.576827897911894
"AC097528.1",-2.09108573365089,4.48213218007108,6.75624127675254,0.00934203363786852,0.576827897911894
"AL359313.1",-1.68772479660662,4.92138333475183,6.75352269104578,0.00935627791032208,0.576827897911894
"AC079915.1",1.74489578671653,4.87508930367615,6.74141430329824,0.0094199915901763,0.576827897911894
"AL078645.1",-2.35568255195708,4.24934548403247,6.74049451413016,0.0094248495958273,0.576827897911894
"AC006478.2",-1.91872001710255,4.58492178139554,6.73928584146473,0.00943123728549745,0.576827897911894
"AP005482.2",4.03150860469318,3.50525592670391,6.73795879980152,0.00943825564857896,0.576827897911894
"RSF1-IT1",2.23816869254227,4.38446638486316,6.72002116681112,0.00953364955513196,0.576827897911894
"AC243829.4",2.93799798081581,3.91392318868466,6.70262655500678,0.00962709908415626,0.576827897911894
"AL592295.4",-1.74326849265136,12.2206720753228,6.69870193072445,0.00964831288885298,0.576827897911894
"AC114277.1",3.10077073839786,3.20403461803873,6.69676817419112,0.00965878304632974,0.576827897911894
"AC116666.1",3.10077073839786,3.20403461803873,6.69676817419112,0.00965878304632974,0.576827897911894
"AL136368.1",3.10077073839786,3.20403461803873,6.69676817419112,0.00965878304632974,0.576827897911894
"AP005671.1",3.10077073839786,3.20403461803873,6.69676817419112,0.00965878304632974,0.576827897911894
"LINC01494",3.10077073839786,3.20403461803873,6.69676817419112,0.00965878304632974,0.576827897911894
"NEGR1-IT1",3.10077073839786,3.20403461803873,6.69676817419112,0.00965878304632974,0.576827897911894
"AL034417.3",1.82502692857604,4.95984694370486,6.69128939283662,0.00968851069443391,0.576827897911894
"AC087392.3",2.47790806517603,4.18622992041304,6.66248185679146,0.00984636885985053,0.582927295396664
"AP005209.1",-1.6160122461071,5.29440159621946,6.65928940533058,0.00986402417630354,0.582927295396664
"AC092675.1",2.28146559509667,4.28352192299142,6.63151324915455,0.010019011371474,0.58990164370199
"AC079354.2",-1.45043898252637,6.7774596839453,6.5878519945629,0.0102676985838224,0.602321318395112
"MNX1-AS2",-1.44166728267695,5.63986654085506,6.5701579517059,0.010370274687919,0.606110267107823
"AL158068.2",-2.50977972945851,4.20245415260508,6.56204615726233,0.0104176511529117,0.606657086846204
"LINC00491",-2.8024246356706,4.22361852552146,6.5427177351192,0.0105314341917257,0.611052959866093
"PHACTR3-AS1",2.45386639001512,4.20613351856445,6.52821659797685,0.010617636015197,0.613822464704652
"AC087477.2",1.43490245831164,7.59066480144573,6.52118965302507,0.010659667551571,0.614027637013961
"AC007785.3",1.41722603196565,5.95585574865684,6.49877634281316,0.0107948761857418,0.617170517398001
