ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
LINC02124,lncRNA,0.0,0.0,0.0,0.0,2.0,2.0
LINC02125,lncRNA,0.0,0.0,4.0,0.0,4.0,2.0
LINC02126,lncRNA,0.0,0.0,0.0,0.0,3.0,0.0
LINC02127,lncRNA,0.0,0.0,0.0,0.0,2.0,2.0
LINC02128,lncRNA,4.0,1.0,2.0,4.0,16.0,17.0
LINC02130,lncRNA,1.0,2.0,1.0,0.0,14.0,3.0
LINC02131,lncRNA,0.0,0.0,0.0,1.0,0.0,4.0
LINC02132,lncRNA,0.0,0.0,0.0,0.5,1.0,0.5
LINC02133,lncRNA,4.0,1.0,1.0,1.0,3.0,1.0
LINC02134,lncRNA,10.0,5.0,0.0,1.0,2.0,3.0
LINC02135,lncRNA,1.0,8.0,8.0,7.0,20.0,30.0
LINC02136,lncRNA,2.0,1.0,1.0,0.0,3.0,7.0
LINC02137,lncRNA,0.0,0.0,1.0,3.0,1.0,1.0
LINC02138,lncRNA,1.0,1.0,1.0,0.0,6.0,10.0
LINC02139,lncRNA,0.0,2.0,0.0,2.0,1.0,2.0
LINC02140,lncRNA,0.0,0.5,4.0,2.5,3.5,4.5
LINC02141,lncRNA,1.0,4.0,5.0,4.0,6.0,2.0
LINC02142,lncRNA,0.0,1.0,0.0,0.0,0.0,4.0
LINC02143,lncRNA,0.0,1.0,0.0,3.0,17.0,13.0
LINC02145,lncRNA,0.0,1.0,1.0,3.0,3.0,2.0
LINC02146,lncRNA,1.0,0.5,0.0,0.0,1.0,2.0
LINC02147,lncRNA,0.0,1.0,0.0,0.0,6.0,6.0
LINC02149,lncRNA,1.0,0.0,1.0,0.0,1.0,1.0
LINC02150,lncRNA,6.0,1.0,0.0,0.0,7.0,8.0
LINC02151,lncRNA,2.0,5.0,1.0,2.0,2.0,3.0
LINC02152,lncRNA,1.0,1.0,0.0,0.0,2.0,2.0
LINC02153,lncRNA,0.0,1.0,1.0,0.0,4.0,6.5
LINC02154,lncRNA,0.0,0.0,0.0,1.0,3.0,3.0
LINC02155,lncRNA,0.0,0.0,0.0,1.0,1.0,1.0
LINC02156,lncRNA,5.0,1.0,0.0,2.0,5.0,7.0
LINC02157,lncRNA,0.0,0.0,0.0,0.0,0.0,2.0
LINC02158,lncRNA,1.0,0.5,2.0,1.0,10.5,5.0
